,in_size,out_size,res,downsample,val_f1,val_pres,val_recall,val_th,f1,pres,recall
0,16,4,1,16,0.12540841507692196,0.08097034888632332,0.277955889223631,0.147,0.08450621430970776,0.05081322365796636,0.25081628075072904
1,16,6,2,16,0.12974821362323982,0.08653323795026813,0.25918705997970065,0.098,0.09070146190095307,0.05621890250094076,0.23459036414845094
2,16,8,2,16,0.1430420459808925,0.09779919260320354,0.2661790530199288,0.12,0.10180996674921912,0.06466324454683858,0.2392512649236061
3,16,10,2,16,0.13526641205578993,0.08645268301430044,0.3106925939649756,0.125,0.0990861231834141,0.05951115301291824,0.29578026469928465
4,16,12,0,16,0.13948637834828384,0.09398024768772535,0.2704322469430169,0.116,0.10005868117692134,0.06211539156300052,0.25712220532888014
5,16,14,0,16,0.13228747516935774,0.08380804047774756,0.3138180470751237,0.14200000000000002,0.09218195590639078,0.054867139040097955,0.28815333615812166
6,16,16,0,16,0.15068110054050757,0.11008499509643674,0.2387105089333183,0.097,0.10357886434416484,0.06749402908365329,0.22257670546596545
7,16,18,2,16,0.12137945337766458,0.07597103624525892,0.30171899921058143,0.116,0.08145784673022141,0.04825268198351674,0.2612098402332943
8,16,20,0,16,0.1457196255499322,0.09801587522319317,0.2838845837830871,0.127,0.09864912212403161,0.06129100529100529,0.25263577677525484
9,32,4,0,8,0.22012415694473997,0.15439272713114913,0.3833191023183129,0.135,0.16187528572254306,0.10255949289547628,0.3839136611749458
10,32,6,1,8,0.23315049200378038,0.16362879679544287,0.4053906010858533,0.128,0.19199835764660422,0.12669030638670864,0.396276264300491
11,32,8,2,8,0.19055757316812644,0.13508420046576117,0.32333940165294583,0.123,0.14645618333314073,0.09532800264779112,0.3158694947782957
12,32,10,2,8,0.2050236286788215,0.13524385664387825,0.4235633387572296,0.159,0.16203087366998303,0.10176090272592082,0.3973978714388973
13,32,12,0,8,0.23197620128892676,0.16975340910788164,0.3662096631277086,0.145,0.19405185696828012,0.13227158727715557,0.3641235263328432
14,32,14,1,8,0.23349701076952595,0.17215646695415482,0.36274588777367855,0.127,0.17748375327044555,0.11999824422789922,0.3406943994416889
15,32,16,1,8,0.18381667756400685,0.13507256026512113,0.2876061284657892,0.105,0.15319440802081863,0.10489722999852659,0.28391615363525335
16,32,18,1,8,0.18529393269514488,0.1324001106041753,0.30856599700343157,0.099,0.1443015270457868,0.09574736910749367,0.29276438772712543
17,32,20,2,8,0.24115907239915982,0.18066650075063623,0.3625525607771745,0.129,0.18633471415585948,0.1291107350282703,0.33466264549737046
18,64,4,0,4,0.1815376111290248,0.12711345060928014,0.3174590388426157,0.151,0.13860677527094267,0.08975877467244411,0.3041050821265671
19,64,6,1,4,0.21166127172366966,0.16622536040011768,0.29127934139936523,0.158,0.16629695021654822,0.11924729204765563,0.27466912589417014
20,64,8,0,4,0.20392767986977214,0.14735837959575965,0.33099192859789595,0.163,0.1589702777540269,0.10797891350964975,0.30121382816978637
21,64,10,1,4,0.18679639032561837,0.13224120603015074,0.3179745774999597,0.167,0.14711550494306094,0.09821301765261196,0.2930136337578824
